Ciclo,Hum Suelo (),Temp Suelo (C)
397,66,19.000
398,66,19.000
399,66,19.062
400,66,19.062
401,66,19.062
402,66,19.062
403,66,19.062
404,66,19.062
405,66,19.125
406,66,19.125
407,66,19.125
408,66,19.188
409,66,19.188
410,66,19.188
411,66,19.188
412,66,19.250
413,66,19.250
414,66,19.250
415,66,19.312
416,66,19.375
417,66,19.312
418,66,19.375
419,66,19.375
420,66,19.375
421,66,19.438
422,66,19.438
423,66,19.438
424,65,19.438
425,65,19.438
426,66,19.500
427,66,19.500
428,66,19.562
429,66,19.562
430,66,19.562
431,66,19.625
432,66,19.625
433,65,19.625
434,65,19.625
435,65,19.625
436,65,19.688
437,65,19.688
438,65,19.750
439,65,19.750
440,65,19.812
441,65,19.750
442,65,19.812
443,65,19.812
444,65,19.812
445,65,19.875
446,66,19.875
447,66,19.875
448,65,19.875
449,66,19.875
450,66,19.938
451,66,19.938
452,65,19.938
453,65,19.938
454,65,20.000
455,65,20.000
456,65,20.062
457,65,20.062
458,65,20.062
459,65,20.062
460,65,20.125
461,65,20.125
462,66,20.125
463,65,20.188
464,65,20.188
465,66,20.188
466,65,20.188
467,65,20.188
468,65,20.250
469,65,20.250
470,65,20.250
471,65,20.312
472,65,20.312
473,65,20.312
474,65,20.312
475,65,20.375
476,65,20.375
477,65,20.438
478,65,20.438
479,65,20.438
480,65,20.438
481,65,20.438
482,65,20.500
483,65,20.500
484,65,20.500
485,65,20.562
486,65,20.562
487,65,20.562
488,65,20.562
489,65,20.625
490,65,20.625
491,65,20.625
492,65,20.688
493,65,20.688
494,65,20.688
495,65,20.688
496,65,20.750
497,65,20.750
498,65,20.750
499,65,20.750
500,65,20.812
501,65,20.812
502,65,20.812
503,65,20.812
504,65,20.812
505,65,20.812
506,65,20.875
507,65,20.875
508,65,20.938
509,65,20.938
510,65,20.938
511,65,20.938
512,65,20.938
513,65,21.000
514,65,21.000
515,65,21.000
516,65,21.062
517,65,21.062
518,65,21.062
519,65,21.062
520,65,21.062
521,65,21.125
522,65,21.125
523,65,21.125
524,65,21.188
525,64,21.188
526,65,21.250
527,65,21.250
528,64,21.250
529,65,21.312
530,64,21.312
531,64,21.312
532,64,21.312
533,65,21.375
534,64,21.375
535,65,21.375
536,65,21.438
537,64,21.375
538,64,21.438
539,64,21.438
540,64,21.500
541,64,21.500
542,64,21.500
543,64,21.562
544,64,21.562
545,64,21.562
546,64,21.562
547,64,21.562
548,64,21.625
549,64,21.625
550,64,21.625
551,64,21.625
552,64,21.688
553,64,21.688
554,64,21.688
555,64,21.750
556,64,21.750
557,64,21.750
558,64,21.750
559,64,21.750
560,64,21.812
561,64,21.812
562,64,21.812
563,64,21.875
564,64,21.875
565,64,21.875
566,64,21.938
567,64,21.938
568,64,21.938
569,64,21.938
570,64,22.000
571,64,22.000
572,64,22.000
573,64,22.000
574,64,22.062
575,64,22.062
576,64,22.062
577,64,22.062
578,64,22.125
579,64,22.125
580,64,22.125
581,64,22.125
582,64,22.188
583,64,22.188
584,64,22.188
585,64,22.188
586,64,22.250
587,64,22.250
588,64,22.250
589,64,22.312
590,64,22.312
591,64,22.312
592,64,22.312
593,64,22.312
594,64,22.375
595,64,22.375
596,64,22.375
597,64,22.375
598,63,22.438
599,64,22.438
600,64,22.500
601,63,22.500
602,64,22.500
603,63,22.562
604,63,22.562
605,63,22.562
606,63,22.562
607,63,22.625
608,63,22.625
609,63,22.688
610,63,22.688
611,63,22.688
612,63,22.688
613,63,22.750
614,64,22.750
615,63,22.750
616,63,22.750
617,63,22.750
618,63,22.812
619,63,22.812
620,63,22.875
621,63,22.812
622,63,22.875
623,63,22.875
624,63,22.938
625,63,22.938
626,63,22.938
627,63,23.000
628,63,23.000
629,63,23.000
630,63,23.000
631,63,23.062
632,63,23.062
633,63,23.062
634,63,23.125
635,63,23.125
636,63,23.125
637,63,23.125
638,63,23.188
639,63,23.188
640,63,23.188
641,63,23.250
642,63,23.250
643,63,23.250
644,63,23.250
645,63,23.312
646,63,23.312
647,63,23.312
